referencia,nome,descrição no catalogo,descricao,preco com iva,descontinuado,código de barras,Stock,subfamilia
100001,Calculadora Financeira FinMaster FM-12,Calculadora financeira profissional,"Ideal para cálculo de empréstimos, amortizações, investimentos e análise financeira.",52.90,false,5609001000001,28,Calculadora financeira
100002,Calculadora Científica EduCalc SC-570,Calculadora científica avançada,"Mais de 400 funções matemáticas, estatísticas e trigonométricas.",24.95,false,5609001000002,67,Calculadoras científicas
100003,RexOffice SecureCut 8X,Destruidora de documentos para escritório,"Corte cruzado, capacidade para 8 folhas e destruição de cartões.",94.90,false,5609001000003,15,Destruidoras 1-3 utilizadores
100004,LaminPro A4 Plus,Plastificadora A4,"Compatível com bolsas até 125 microns e aquecimento rápido.",42.50,false,5609001000004,21,Plastificadoras
100005,CashRegister CR-300,Caixa registadora eletrónica,"Ecrã LCD duplo, impressora térmica e gestão de IVA.",269.90,false,5609001000005,5,Caixas registadoras
100006,MoneyCount MC-1000 UV,Contador de notas profissional,"Contagem automática com deteção UV e magnética.",319.00,false,5609001000006,3,Máquinas de contar dinheiro
100007,ErgoChair Executive Black,Cadeira de direção ergonómica,"Encosto reclinável, apoio lombar e braços ajustáveis.",199.90,false,5609001000007,11,Cadeiras de direção
100008,SteelCab Archive 180,Armário metálico para arquivo,"Duas portas com fechadura e quatro prateleiras reguláveis.",289.90,false,5609001000008,6,Armários
100009,VisionView 24FHD IPS,"Monitor LED Full HD 24""","Painel IPS, HDMI, DisplayPort e tecnologia anti-flicker.",139.90,false,5609001000009,19,Monitores LED
100010,KeyPro Silent K120 PT,Teclado USB silencioso,"Layout português, resistente a salpicos e ligação plug-and-play.",17.90,false,5609001000010,48,Teclados
100011,DataFlash USB 64GB 3.2,Pen drive USB de alta velocidade,"Leitura até 150MB/s com compatibilidade USB 3.2.",12.90,false,5609001000011,140,Pen drives USB
100012,Leitz Active A4 80mm,Classificador de arquivo premium,"Cartão reforçado, mecanismo metálico e lombada de 80mm.",5.95,false,5609001000012,230,Classificadores
100013,LabelMaker LM-210,Etiquetadora portátil,"Impressão térmica para etiquetas organizacionais e industriais.",49.90,false,5609001000013,13,Etiquetadoras
100014,Permanent Marker PM-450,Marcador permanente preto,"Escrita sobre papel, plástico, metal e vidro.",2.20,false,5609001000014,380,Marcadores permanentes
100015,OfficeCut Titanium 21,Tesoura profissional 21cm,"Lâmina em aço inoxidável revestida a titânio.",6.90,false,5609001000015,95,Tesouras de escritório
100016,OfficeCut Titanium 22,Tesoura profissional 22cm,"Lâmina em aço inoxidável revestida a titânio.",6.90,false,5609001000016,95,Tesouras de escritório
