referencia,nome,cor,codigo_cor,descrição no catalogo,descricao,preco com iva,descontinuado,código de barras,Stock,subfamilia
100001,Calculadora Financeira FinMaster FM-12,Preto,#000000,Calculadora financeira profissional,"Ideal para cálculo de empréstimos, amortizações, investimentos e análise financeira.",52.90,false,5609001000001,28,Calculadora financeira
100017,Calculadora Financeira FinMaster FM-12,Azul,#0000FF,Calculadora financeira profissional,"Ideal para cálculo de empréstimos, amortizações, investimentos e análise financeira.",52.90,false,5609001000017,14,Calculadora financeira
100018,Calculadora Financeira FinMaster FM-12,Vermelho,#FF0000,Calculadora financeira profissional,"Ideal para cálculo de empréstimos, amortizações, investimentos e análise financeira.",52.90,false,5609001000018,9,Calculadora financeira
100002,Calculadora Científica EduCalc SC-570,Preto,#000000,Calculadora científica avançada,"Mais de 400 funções matemáticas, estatísticas e trigonométricas.",24.95,false,5609001000002,67,Calculadoras científicas
100019,Calculadora Científica EduCalc SC-570,Azul,#0000FF,Calculadora científica avançada,"Mais de 400 funções matemáticas, estatísticas e trigonométricas.",24.95,false,5609001000019,35,Calculadoras científicas
100020,Calculadora Científica EduCalc SC-570,Branco,#FFFFFF,Calculadora científica avançada,"Mais de 400 funções matemáticas, estatísticas e trigonométricas.",24.95,false,5609001000020,23,Calculadoras científicas
100003,RexOffice SecureCut 8X,Preto,#000000,Destruidora de documentos para escritório,"Corte cruzado, capacidade para 8 folhas e destruição de cartões.",94.90,false,5609001000003,15,Destruidoras 1-3 utilizadores
100021,RexOffice SecureCut 8X,Cinza,#808080,Destruidora de documentos para escritório,"Corte cruzado, capacidade para 8 folhas e destruição de cartões.",94.90,false,5609001000021,7,Destruidoras 1-3 utilizadores
100004,LaminPro A4 Plus,Preto,#000000,Plastificadora A4,"Compatível com bolsas até 125 microns e aquecimento rápido.",42.50,false,5609001000004,21,Plastificadoras
100022,LaminPro A4 Plus,Branco,#FFFFFF,Plastificadora A4,"Compatível com bolsas até 125 microns e aquecimento rápido.",42.50,false,5609001000022,11,Plastificadoras
100005,CashRegister CR-300,Preto,#000000,Caixa registadora eletrónica,"Ecrã LCD duplo, impressora térmica e gestão de IVA.",269.90,false,5609001000005,5,Caixas registadoras
100023,CashRegister CR-300,Branco,#FFFFFF,Caixa registadora eletrónica,"Ecrã LCD duplo, impressora térmica e gestão de IVA.",269.90,false,5609001000023,3,Caixas registadoras
100006,MoneyCount MC-1000 UV,Preto,#000000,Contador de notas profissional,"Contagem automática com deteção UV e magnética.",319.00,false,5609001000006,3,Máquinas de contar dinheiro
100024,MoneyCount MC-1000 UV,Cinza,#808080,Contador de notas profissional,"Contagem automática com deteção UV e magnética.",319.00,false,5609001000024,4,Máquinas de contar dinheiro
100007,ErgoChair Executive,Preto,#000000,Cadeira de direção ergonómica,"Encosto reclinável, apoio lombar e braços ajustáveis.",199.90,false,5609001000007,11,Cadeiras de direção
100025,ErgoChair Executive,Azul,#0000FF,Cadeira de direção ergonómica,"Encosto reclinável, apoio lombar e braços ajustáveis.",199.90,false,5609001000025,6,Cadeiras de direção
100026,ErgoChair Executive,Vermelho,#FF0000,Cadeira de direção ergonómica,"Encosto reclinável, apoio lombar e braços ajustáveis.",199.90,false,5609001000026,4,Cadeiras de direção
100008,SteelCab Archive 180,Cinza,#808080,Armário metálico para arquivo,"Duas portas com fechadura e quatro prateleiras reguláveis.",289.90,false,5609001000008,6,Armários
100027,SteelCab Archive 180,Preto,#000000,Armário metálico para arquivo,"Duas portas com fechadura e quatro prateleiras reguláveis.",289.90,false,5609001000027,5,Armários
100009,VisionView 24FHD IPS,Preto,#000000,Monitor LED Full HD 24,"Painel IPS, HDMI, DisplayPort e tecnologia anti-flicker.",139.90,false,5609001000009,19,Monitores LED
100028,VisionView 24FHD IPS,Branco,#FFFFFF,Monitor LED Full HD 24,"Painel IPS, HDMI, DisplayPort e tecnologia anti-flicker.",139.90,false,5609001000028,12,Monitores LED
